,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,更新日：2023年4月28日,,,
食　品　群,食　品　番　号,索　引　番　号,可　　食　　部　　 100　　g　　当　　た　　り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可　　食　　部　　 100　 g　　当　　た　　り,,,,,,,,,,,,,,,,,,,,,,,,,,,,備　　考,,,
,,,食　品　名,廃　棄　率,エネルギー,,水　分,たんぱく質,,脂質,,,炭水化物,,,,,,,,有機酸,"灰

分",無 機 質,,,,,,,,,,無機質,,,,ビ　　タ　　ミ　　ン　　,,,,,,,,,,,,,,,,,,,,,,アルコール,食塩相当量,,,,
,,,,,,,,"アミノ酸組成による
たんぱく質",たんぱく質,"脂肪酸の
トリアシルグリセロール当量",コレステロール,脂質,利用可能炭水化物,,,,,食物繊維総量,糖アルコール,炭水化物,,,ナ ト リ ウ ム,カ　リ　ウ　ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ　ン,鉄,亜　鉛,銅,マ　ン　ガ　ン,,ヨ　ウ　素,セ　レ　ン,ク　ロ　ム,モリブデン,ビタミンA,,,,,,      ビタミンD,ビタミンE,,,,ビタミンK,"ビ
タ
ミ
ン
Ｂ１","ビ
タ
ミ
ン
B２",ナイアシン,ナイアシン当量,"ビ
タ
ミ
ン
Ｂ６","ビ
タ
ミ
ン
Ｂ１２",葉　酸,パントテン酸,ビ オ チ ン,ビタミンC,,,,,,
,,,,,,,,,,,,,"利用可能炭水化物
（単糖当量）",,"利用可能炭水化物
（質量計）","差引き法による
利用可能炭水化物　",,,,,,,,,,,,,,,,,,,,,,,,,,レチノール活性当量,,α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,,,,,,,,,,,,,,,,,
17,17023,2320,＜調味料類＞　（だし類）　煮干しだし,0,5,1,99.7,-,0.1,-,-,0.1,-,,-,0,*,(0),-,Tr,-,0.1,38,25,3,2,7,Tr,Tr,Tr,Tr,,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0.01,Tr,0.3,0.3,Tr,0.2,1,0,-,0,-,0.1,"液状だし
3％の煮干しでとっただし",,,
17,17024,2321,＜調味料類＞　（だし類）　鶏がらだし,0,28,7,98.6,0.5,0.9,0.4,1,0.4,-,,-,0.3,*,(0),-,Tr,-,0.2,40,60,1,1,15,0.1,Tr,0.01,0,,Tr,1,0,1,1,0,0,0,0,1,0,Tr,0,Tr,0,2,0.01,0.04,1.1,1.1,0.02,0.1,2,0.31,0.5,0,-,0.1,"別名： 鶏ガラスープ
試料： 調理した液状だし
鶏がらからとっただし　",,,
17,17025,2322,＜調味料類＞　（だし類）　中華だし,0,14,3,99.0,(0.7),0.8,-,-,0,-,,-,0.1,*,-,-,Tr,-,0.2,20,90,3,5,40,Tr,Tr,Tr,0.01,,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0.15,0.03,1.3,(1.3),0.05,0,1,0.26,-,0,-,0.1,"別名：湯（たん）
液状だし
鶏肉、豚もも肉、ねぎ、しょうがなどでとっただし　　　",,,
17,17026,2323,＜調味料類＞　（だし類）　洋風だし,0,27,6,97.8,(0.6),1.3,-,-,0,-,,-,1.0,*,-,-,0.3,-,0.6,180,110,5,6,37,0.1,0.1,0.01,0.01,,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0.02,0.05,1.1,(1.1),0.06,0.2,3,0.25,-,0,-,0.5,"別名： スープストック、ブイヨン
液状だし
牛もも肉、にんじん、たまねぎ、セロリーなどでとっただし　",,,
17,17027,2324,＜調味料類＞　（だし類）　固形ブイヨン,0,987,233,0.8,(8.2),7.0,4.1,Tr,4.3,-,,-,40.8,*,0.3,-,42.1,-,45.8,17000,200,26,19,76,0.4,0.1,0.10,0.10,,1,2,2,2,0,0,0,0,0,0,Tr,0.7,Tr,0.3,0,2,0.03,0.08,1.1,(1.1),0.40,0.1,16,0.28,0.5,0,-,43.2,"別名： 固形コンソメ
顆粒状の製品を含む
固形だし",,,
17,17092,2325,＜調味料類＞　（だし類）　顆粒おでん用,0,705,166,(0.9),(9.9),(9.6),(0.1),(7),(0.1),(21.3),,(20.3),(31.2),*,(Tr),(Tr),(31.7),(0.3),(57.6),(22000),(210),(30),(33),(130),(0.8),(0.4),(0.05),(0.33),,(2),(26),(3),(15),0,0,0,0,0,0,(0.2),(Tr),0,0,0,0,(0.02),(0.11),(2.0),(2.5),(0.07),(0.4),(14),(0.20),(4.9),0,0,(56.4),顆粒だし,,,
17,17093,2326,＜調味料類＞　（だし類）　顆粒中華だし,0,892,210,1.2,10.6,12.6,1.5,7,1.6,-,,-,38.7,*,(0),-,36.6,-,48.1,19000,910,84,33,240,0.6,0.5,0.05,0.16,,31,8,8,6,2,2,7,0,8,3,0,0.9,0.1,5.0,1.4,-,0.06,0.56,8.0,8.5,0.29,0.3,170,1.48,5.1,0,-,47.5,"粉末製品を含む
顆粒だし",,,
17,17028,2327,＜調味料類＞　（だし類）　顆粒和風だし,0,949,223,1.6,(26.8),24.2,0.2,23,0.3,-,,-,28.6,*,0,-,31.1,-,42.8,16000,180,42,20,260,1.0,0.5,0.12,0.09,,5,74,8,1,0,0,0,0,0,0,0.8,0.1,0,0,0,0,0.03,0.20,5.5,(6.9),0.06,1.4,14,0.18,3.8,0,-,40.6,"別名： 顆粒風味調味料
粉末製品を含む
顆粒だし
(100 g：155mL、100 mL：64g)",,,
17,17140,2328,＜調味料類＞　（だし類）　なべつゆ　ストレート　しょうゆ味,0,87,20,(93.0),(0.8),(1.0),-,-,0,(3.2),,(3.1),(4.3),*,0,-,(4.1),-,(1.9),(700),(53),(4),(8),(23),(0.2),(0.1),(Tr),(0.12),,0,(2),(Tr),(6),0,0,0,0,0,0,0,0,0,0,0,0,(0.01),(0.02),(0.3),(0.5),(0.02),(Tr),(4),(0.06),(1.5),0,0,(1.8),液状だし,,,
17,17029,2329,＜調味料類＞　（だし類）　めんつゆ　ストレート,0,185,44,85.4,(2.0),2.2,-,-,0,-,,-,8.9,*,-,-,8.7,-,3.7,1300,100,8,15,48,0.4,0.2,0.01,-,,-,-,-,-,0,0,0,0,0,0,(0),-,-,-,-,0,0.01,0.04,1.2,(1.2),0.04,0.3,17,0.18,-,0,-,3.3,液状だし,,,
